Treatment,Time,Time.past.start,pH.mean,pH.SD,Temp.mean,Temp.SD
Control,12:00,0,8.195857505,0.013154072,26.22478947,0.076601984
Control,16:00,4,8.106539352,0.01132077,25.85842105,0.156631595
Control,20:00,8,7.879171999,0.006555738,25.16842105,0.057895268
Control,0:00,12,7.869087437,0.006220348,25.04515789,0.057788206
Control,4:00,16,7.854814836,0.007386118,25.00642105,0.052780374
Control,8:00,20,7.96971921,0.01670979,25.17498363,0.067534307
Acidified,12:00,0,8.023644874,0.014229712,26.20815789,0.060320907
Acidified,16:00,4,7.906038057,0.012206826,25.83436842,0.116725101
Acidified,20:00,8,7.647339436,0.006700479,25.16878947,0.061711533
Acidified,0:00,12,7.642701774,0.012137287,25.05663158,0.067354805
Acidified,4:00,16,7.622629562,0.008985971,25.01289474,0.053297685
Acidified,8:00,20,7.751212252,0.013072261,25.16505263,0.043421815
Heated,12:00,0,8.182038368,0.014510032,28.00036842,0.128406444
Heated,16:00,4,8.110769368,0.016914968,27.69542105,0.190073458
Heated,20:00,8,7.880070099,0.007885487,27.06657895,0.115590273
Heated,0:00,12,7.853359137,0.00666584,26.97563158,0.111991143
Heated,4:00,16,7.852472146,0.006259975,26.94863158,0.111816254
Heated,8:00,20,7.961395578,0.011483177,27.07389474,0.052715255
AcidifiedHeated,12:00,0,8.000933763,0.020576671,27.96415789,0.071615681
AcidifiedHeated,16:00,4,7.906009799,0.01824556,27.66884211,0.136538755
AcidifiedHeated,20:00,8,7.645275394,0.010236427,27.06947368,0.088459335
AcidifiedHeated,0:00,12,7.623777684,0.010684675,26.97863158,0.088946573
AcidifiedHeated,4:00,16,7.618701836,0.01091279,26.95842105,0.081330503
AcidifiedHeated,8:00,20,7.743511057,0.018659306,27.06784211,0.056155946